Methylation,Prediction,Age,cg16867657,x,y,Slope,Min ,Max
0.00,-0.35,56.00,0.64,0.59,49.53,26.71,0.401810948,0.59
0.01,-0.34,25.00,0.46,0.63,57.34,4.90,0.59,0.65
0.02,-0.32,48.00,0.62,0.67,63.76,7.14,0.65,0.70
0.03,-0.31,82.00,0.72,0.71,69.38,23.13,0.70,0.939924544
0.04,-0.30,61.00,0.65,0.75,74.47,23.50,0.70,0.939924544
0.05,-0.29,73.00,0.76,,,,,
0.06,-0.28,77.00,0.72,LIME 1,,,,
0.07,-0.26,56.00,0.62,0.401810948,44.50347041,,,
0.08,-0.25,51.00,0.63,0.59,49.53,,,
0.09,-0.24,51.00,0.60,LIME 2,,,,
0.10,-0.23,47.00,0.58,0.59,57.144,,,
0.11,-0.22,52.00,0.59,0.63,57.34,,,
0.12,-0.21,76.00,0.73,0.65,57.438,,,
0.13,-0.19,77.00,0.71,,,,,
0.14,-0.18,43.00,0.63,,,,,
0.15,-0.17,54.00,0.64,,,,,
0.16,-0.16,51.00,0.62,,,,,
0.17,-0.15,34.00,0.53,,,,,
0.18,-0.14,58.00,0.48,,,,,
0.19,-0.12,76.00,0.73,,,,,
0.20,-0.11,58.00,0.66,,,,,
0.21,-0.10,44.00,0.57,,,,,
0.22,-0.08,67.00,0.66,,,,,
0.23,-0.07,56.00,0.62,,,,,
0.24,-0.06,56.00,0.63,,,,,
0.25,-0.05,85.00,0.78,,,,,
0.26,-0.03,71.00,0.77,,,,,
0.27,-0.02,55.00,0.64,,,,,
0.28,-0.01,85.00,0.76,,,,,
0.29,0.64,32.00,0.46,,,,,
0.30,1.99,43.00,0.54,,,,,
0.31,3.38,59.00,0.71,,,,,
0.32,4.77,41.00,0.57,,,,,
0.33,6.16,76.00,0.65,,,,,
0.34,7.54,62.00,0.67,,,,,
0.35,8.96,75.00,0.75,,,,,
0.36,10.50,65.00,0.63,,,,,
0.37,12.08,56.00,0.62,,,,,
0.38,13.65,63.00,0.66,,,,,
0.39,15.23,60.00,0.62,,,,,
0.40,16.80,36.00,0.50,,,,,
0.41,18.38,66.00,0.70,,,,,
0.42,19.95,58.00,0.71,,,,,
0.43,21.52,41.00,0.57,,,,,
0.44,23.10,64.00,0.66,,,,,
0.45,24.67,50.00,0.66,,,,,
0.46,26.48,68.00,0.68,,,,,
0.47,28.28,66.00,0.74,,,,,
0.48,30.09,60.00,0.66,,,,,
0.49,31.90,43.00,0.57,,,,,
0.50,33.70,92.00,0.72,,,,,
0.51,35.51,31.00,0.54,,,,,
0.52,37.32,62.00,0.67,,,,,
0.53,39.12,79.00,0.74,,,,,
0.54,40.93,80.00,0.72,,,,,
0.55,42.74,25.00,0.46,,,,,
0.56,44.54,51.00,0.60,,,,,
0.57,46.35,38.00,0.54,,,,,
0.58,48.16,65.00,0.66,,,,,
0.59,49.96,57.00,0.60,,,,,
0.60,51.77,64.00,0.67,,,,,
