num_features,nn0,lr0,dp0,nn1,lr1,dp1,nn2,lr2,dp2,nn3,lr3,dp3,nn4,lr4,dp4,nn5,lr5,dp5,nn6,lr6,dp6,nn7,lr7,dp7,nn8,lr8,dp8,nn9,lr9,dp9
1,5.567475856321254,5.59284063581535,5.566377621131922,5.52906863930171,5.595741296824104,5.567889384415716,5.497481852478624,5.5944474310362375,5.53655747404316,5.564779175997557,5.593218775447883,5.578035137164088,5.538104625788884,5.594796146554357,5.569519639403501,5.523521000865228,5.588809134517508,5.569612683224756,5.540027929051303,5.59319094182614,5.565762895714577,5.5254220372302525,5.590506190197476,5.566268672383957,5.5108849342172235,5.594976269849348,5.566494124720073,5.566678621869911,5.593998116856677,5.56585951814434
2,5.470130547638436,5.698907013436482,5.497122798758143,5.463557836675489,5.700913817564128,5.495394330847923,5.469015214652891,5.684111852987582,5.545214525651466,5.441118768449715,5.699287538808021,5.56958723534202,5.473163617162052,5.70021479603522,5.551142291836319,5.4796265841307,5.7043934179051305,5.555985342019544,5.47253060107899,5.702849844767916,5.474033616653094,5.436595009670196,5.701545640777687,5.553464411135994,5.45106928822272,5.697848540563925,5.5239715079142915,5.454595410474348,5.697202800539495,5.559400925030538
3,5.132531778043567,5.344733322093852,5.203813683326548,5.166647050590391,5.340736811634772,5.171438409761808,5.132514282624186,5.338914107033795,5.181428691851588,5.114758817691368,5.296696069574511,5.15761941418974,5.13192619795908,5.3388663922536646,5.205943353013029,5.091738026771172,5.340184910677932,5.160039746411848,5.14501237403298,5.308359947577362,5.120881816851588,5.1495476638843645,5.308759558860952,5.148936119452362,5.159204340136401,5.34792345276873,5.183592159507329,5.150603751017916,5.341779379580619,5.190230080669788
5,4.992180740406148,5.1684578264963354,5.038905836471906,4.986163111385383,5.183164316978828,5.056615177117264,5.002130464932818,5.186016070337948,5.031194332756515,4.947684719818811,5.182631899557207,5.048996717223127,4.968003263690961,5.22925162548351,5.006307496310057,4.975185530970073,5.1902133804967425,5.040565515574104,4.990160417090798,5.197435807715798,5.053995635688111,4.994156132303543,5.166044253868078,5.0248816673452765,4.9481173338253255,5.18769284723636,5.071723664622353,4.990460622582451,5.185479279061482,5.037019909787256
7,4.48944350251934,4.790937690859121,4.453566361716205,4.4606655257532575,4.785535582502036,4.537303415105863,4.586054401211319,4.787901440350163,4.546729469920603,4.598407757787052,4.789033075885587,4.482277537790106,4.666739299165309,4.790485990940554,4.802109311380293,4.580599011349756,4.7891722439943,4.588901780715594,4.6037104603521986,4.791256584639658,4.818376075173045,4.446362225162867,4.782898148030334,4.532280639250814,4.488701537688314,4.787450535677932,4.549815025702362,4.661190070236156,4.78994880204092,4.593106645714577
11,4.330491653094462,4.68029069434548,4.480463183275652,4.411552702565147,4.677597195007126,4.24985128893526,4.284695007125407,4.676982867212948,4.8037101422536646,4.444889428949511,4.719247824206026,4.4543806939637625,4.274164752773819,4.666877672027687,4.547644798452769,4.265323601638844,4.650138531911645,4.499104552626221,4.3850841211573695,4.695893029824918,4.346193791989006,4.404209000279927,4.6811531389963354,4.42257203341307,4.693978076649023,4.698282745063111,4.3014122779672235,4.4790011228878255,4.684537309777077,4.690478197526466
17,4.382140516846499,4.442447227453176,4.292657808682818,4.066336665945643,4.495422562092834,4.417037516541124,4.20729845276873,4.515535534787256,4.408151433988192,4.06107412332044,4.565852758550489,4.278315541021987,4.387040824765879,4.52761095276873,4.254225939026873,4.198709394722109,4.709991156860749,4.327112253791735,4.110202056188925,4.51333230481474,4.08250362632329,4.247505709868689,4.599891687449104,4.306692713634976,4.216286326852606,4.4857905384771986,4.335733121691775,4.192822583723534,4.556585355379682,4.099826477249593
25,3.509133006540106,3.9418356830211727,3.6505838698595277,3.6500240164393323,3.923738262164088,3.4720248244096092,3.56939080949715,3.901354463558632,3.59774651045908,3.571947526465798,3.8611977046009773,3.663847783489414,3.55217531682614,3.9280675832145766,3.5414021147190553,3.6512860723737783,3.9457117136604234,3.610847796213355,3.8299023755598536,3.943195554254886,3.5581253499083876,3.5098729832552933,3.852839267991653,3.6837472325427525,3.5926183644645766,3.9131268926862783,3.654102437270969,3.60690178389658,3.8831989897190553,3.606209124338355
38,3.6140542294381106,3.9394411963049674,3.6461778075376627,3.639079836370114,3.8935697971803744,3.591345572704601,3.528138996335505,3.795689287713762,3.671836430552728,3.645228681036238,3.8889120393933223,3.616132605735953,3.666110259313925,3.8310332158489415,3.6864844704295603,3.672936256234731,3.843904277789088,3.565463087846091,3.5735630693963762,3.928704575529316,3.608967038629886,3.6131615654265063,3.937753683581026,3.650954454651873,3.588211904519544,3.945613103114821,3.6809670513538273,3.7283080657064334,3.9002792905130295,3.6954930209181596
57,3.4466803236970684,3.71137806646987,3.432637863904723,3.4552045691673454,3.746780047587541,3.412708593113803,3.520729288604438,3.69962034939943,3.4926161377748373,3.4753179394849347,3.688744958138233,3.453509103980049,3.4200010020103826,3.6899151631209284,3.392809144060464,3.469153189892101,3.7180565451954397,3.41395633461421,3.4257673331891287,3.7093895530079397,3.399616850315554,3.437885296849552,3.7083541422791124,3.486465702616042,3.5499804369401464,3.6559088393220684,3.470473298809039,3.4438086891795603,3.7391739140116043,3.51965689892101
